STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,Year
NORTH_DAKOTA,2012,97555,1345371,160050,658255,1380563,685786,2016
OHIO,2012,1630865,22799205,2007733,9336277,22662376,10861218,2016
OKLAHOMA,2012,664200,5824963,773014,2869071,5594867,2736786,2016
OREGON,2012,566525,6124872,550894,3038052,6314092,3250376,2016
PENNSYLVANIA,2012,1644759,27881568,2145208,9561500,27851918,13450420,2016
RHODE_ISLAND,2012,137400,2208278,204682,779000,2190431,1272285,2016
SOUTH_CAROLINA,2012,715744,7889771,848254,3586738,7948441,3749691,2016
SOUTH_DAKOTA,2012,127726,1298723,212615,395054,1296971,649023,2016
TENNESSEE,2012,998638,8983224,1257953,4017946,9256522,5151260,2016
TEXAS,2012,4844744,49979753,6140296,19801928,50215314,23902458,2016
UTAH,2012,553873,4217360,426702,2158049,4330417,2161779,2016
VERMONT,2012,87968,1754161,124451,1372320,1726321,904254,2016
VIRGINIA,2012,1257332,14940479,1365551,5564504,15129464,8123166,2016
WASHINGTON,2012,1044856,11955582,1057045,7001110,12187889,5866729,2016
WEST_VIRGINIA,2012,282088,3970941,432223,2014017,3536971,1893954,2016
WISCONSIN,2012,863314,11139967,907311,4786356,10724377,5631108,2016
WYOMING,2012,89994,1664983,144728,851896,1670728,845801,2016
ALABAMA,2014,740081,7357267,794090,4031547,7587737,3824295,2016
ALASKA,2014,130539,2663647,309525,1824373,2727056,1346457,2016
ARIZONA,2014,943937,8361708,1102980,3182285,8109460,3902565,2016
ARKANSAS,2014,479881,5193218,552738,4006889,5242672,2609867,2016
CALIFORNIA,2014,6224685,72389126,7415061,38410554,72506810,35539425,2016
COLORADO,2014,865231,9162406,681230,3961719,9286626,4470568,2016
CONNECTICUT,2014,511082,10743919,420593,4141590,10201500,5889381,2016
DELAWARE,2014,120623,1954374,133055,1137764,1988535,1050647,2016
DISTRICT_OF_COLUMBIA,2014,44942,1342220,134959,0,1313289,503349,2016
FLORIDA,2014,2708022,26077462,3112027,10460928,26523658,14542370,2016
GEORGIA,2014,1699185,17821620,1804212,7837335,17668352,9635641,2016
HAWAII,2014,186825,2696766,286988,2354601,2504144,1386369,2016
IDAHO,2014,281452,2084970,232593,1319582,2012852,1108768,2016
ILLINOIS,2014,2060632,31085621,2301827,11163462,31080869,16323537,2016
INDIANA,2014,1007121,12399402,933891,7632238,11136045,5513142,2016
IOWA,2014,501763,6455928,455586,3247115,6541553,3266694,2016
KANSAS,2014,496034,5813985,419415,3265012,5957954,3033016,2016
KENTUCKY,2014,686789,7229857,825742,3966872,7346219,3659917,2016
LOUISIANA,2014,665441,8352703,1272004,3455315,8140649,4026042,2016
MAINE,2014,178709,2675648,182961,1032280,2550302,1369822,2016
MARYLAND,2014,865768,13982544,816033,6186736,13712839,7475952,2016
MASSACHUSETTS,2014,920558,16609204,791029,6587492,16518383,9407351,2016
MICHIGAN,2014,1363533,18457253,1563397,10073758,17358365,8858564,2016
MINNESOTA,2014,804580,11168633,630445,7603409,11300786,5986788,2016
MISSISSIPPI,2014,492421,4480105,664697,2243098,4463078,2279076,2016
MISSOURI,2014,892992,10256615,895743,4267069,10324249,5243167,2016
MONTANA,2014,144034,1729712,201528,822788,1754324,949120,2016
NEBRASKA,2014,307398,4005091,318179,1283012,4008633,2371149,2016
NEVADA,2014,435765,4203255,381596,2651854,4043820,2104452,2016
NEW_HAMPSHIRE,2014,184846,3042994,161989,1003995,2960615,1682021,2016
NEW_JERSEY,2014,1335350,28454548,1142878,11047025,27742203,14956606,2016
NEW_MEXICO,2014,326637,3601387,466320,2505492,3576216,1709599,2016
NEW_YORK,2014,2619312,61337112,3347393,24830862,62556193,40168920,2016
NORTH_CAROLINA,2014,1441391,13462754,1529624,7849343,13540706,7573296,2016
NORTH_DAKOTA,2014,103272,1568997,155894,901032,1597210,758669,2016
OHIO,2014,1601566,23297509,1692769,9492461,21847582,11350255,2016
OKLAHOMA,2014,670069,6034336,690122,2983860,6026661,2833650,2016
OREGON,2014,566538,6621363,521463,3393147,6453635,3437466,2016
PENNSYLVANIA,2014,1605292,29068069,1812609,10272392,28620630,15352999,2016
RHODE_ISLAND,2014,135084,2313010,186551,867512,2258076,1277445,2016
SOUTH_CAROLINA,2014,729386,8417698,812536,3902923,8452743,4035914,2016
SOUTH_DAKOTA,2014,130653,1345549,186216,413544,1355439,696235,2016
TENNESSEE,2014,992583,9237782,1095377,4315952,9432883,5296570,2016
TEXAS,2014,4949469,52776853,5643178,20510815,53096761,25364709,2016
UTAH,2014,570423,4405929,385210,2363055,4385896,2336613,2016
VERMONT,2014,87990,1895044,102434,1495453,1876197,955495,2016
VIRGINIA,2014,1273211,15347862,1009659,5994897,15690444,8464947,2016
WASHINGTON,2014,1057773,13040197,1030232,7833024,12806300,6267816,2016
WEST_VIRGINIA,2014,280265,3514889,351957,2033948,3499873,1823665,2016
WISCONSIN,2014,865119,11330253,830568,5709579,11255186,5685955,2016
WYOMING,2014,92732,1772633,112709,965213,1775999,865932,2016
ALABAMA,2016,734652,7498567,797631,4097696,7708845,3865453,2016
ALASKA,2016,132477,2494691,307320,1613675,2623014,1251738,2016
ARIZONA,2016,938274,8503034,1160908,3440726,7987011,3872250,2016
ARKANSAS,2016,479177,5401016,593656,4122377,5434193,2658253,2016
CALIFORNIA,2016,6217031,89217262,7709079,50904567,85320133,42587272,2016
COLORADO,2016,880678,10123271,713914,4365019,9878524,4786838,2016
CONNECTICUT,2016,499494,11419673,468595,4411204,10826431,6110631,2016
DELAWARE,2016,121225,2043577,134412,1172219,2041952,1126775,2016
DISTRICT_OF_COLUMBIA,2016,48336,1329719,154922,0,1322563,594396,2016
FLORIDA,2016,2776933,28125598,3147329,10963807,27945116,15212112,2016
GEORGIA,2016,1727085,19403453,1807371,8771192,19158388,10534931,2016
HAWAII,2016,181995,3030519,261131,2710361,2733094,1468044,2016
IDAHO,2016,274849,2266490,240322,1454830,2100980,1171313,2016
ILLINOIS,2016,2030717,32908958,2331724,12053316,33037244,17804976,2016
INDIANA,2016,1002696,12732161,954837,7780711,11535287,5730602,2016
IOWA,2016,508014,6919477,464852,3583134,6972412,3447707,2016
KANSAS,2016,495545,6069563,453922,3949517,6134836,3006786,2016
KENTUCKY,2016,686440,7745928,880296,4269100,7786281,3917968,2016
LOUISIANA,2016,660561,8397136,1021465,3480353,8248660,4095916,2016
MAINE,2016,179879,2845391,185803,1074641,2706103,1437164,2016
MARYLAND,2016,879196,14409321,823599,6334951,13992191,7779504,2016
MASSACHUSETTS,2016,921029,17484704,765043,6770086,17037880,9991819,2016
MICHIGAN,2016,1335713,19416061,1552824,10727785,18001445,9113469,2016
MINNESOTA,2016,811157,12186135,634332,7887346,12848946,6548885,2016
MISSISSIPPI,2016,486245,4755399,690724,2411621,4631356,2407637,2016
MISSOURI,2016,891554,10893231,924655,4568867,10719882,5488433,2016
MONTANA,2016,145240,1800909,220340,840804,1879789,973199,2016
NEBRASKA,2016,315542,4398811,346826,1437048,4640422,2526973,2016
NEVADA,2016,441623,4482886,401323,2816911,4374249,2288790,2016
NEW_HAMPSHIRE,2016,179682,3150473,169166,1004753,3124778,1743022,2016
NEW_JERSEY,2016,1364473,30012666,1187430,11681799,29665476,15831343,2016
NEW_MEXICO,2016,319861,3765069,506995,2591444,3729397,1733158,2016
NEW_YORK,2016,2590945,66912661,3369803,27437593,68282026,43964520,2016
NORTH_CAROLINA,2016,1462036,13448045,1557900,8287126,14207389,8060544,2016
NORTH_DAKOTA,2016,108384,1788749,155453,985365,1963630,867650,2016
OHIO,2016,1595024,23766529,1680983,9277802,23352516,12247509,2016
OKLAHOMA,2016,672777,6103728,689756,2909651,6184152,3047217,2016
OREGON,2016,574252,7418055,582560,3861438,7501954,3834741,2016
PENNSYLVANIA,2016,1572593,31077289,1904293,11181046,30925177,16717308,2016
RHODE_ISLAND,2016,133856,2401541,175379,940989,2358654,1340088,2016
SOUTH_CAROLINA,2016,743320,9161667,840786,4262164,9187299,4274682,2016
SOUTH_DAKOTA,2016,134045,1455737,196644,438629,1475864,730176,2016
TENNESSEE,2016,999265,9585331,1095415,4395757,9680512,5401812,2016
TEXAS,2016,5053291,58284155,5953348,22004299,59314884,27862199,2016
UTAH,2016,580215,4952923,394060,2533573,4923657,2591600,2016
VERMONT,2016,87974,2112365,111891,1614518,2082696,1013209,2016
VIRGINIA,2016,1283493,16259274,1058146,6297587,16497520,8944614,2016
WASHINGTON,2016,1083973,14964364,1097684,9211201,15253296,7087365,2016
WEST_VIRGINIA,2016,276764,3391579,358068,1863062,3366566,1804235,2016
WISCONSIN,2016,857736,11697466,782610,5986763,11787535,5760418,2016
WYOMING,2016,94511,2044669,123012,1175899,2034229,921494,2016
