State,HS Graduates Going Directly to College (%) - 2010
Alabama,63.2
Alaska,46.4
Arizona,57.9
Arkansas,65.4
California,61.7
Colorado,61.2
Connecticut,78.7
Delaware,47.3
Florida,63.1
Georgia,67.7
Hawaii,63.6
Idaho,45.1
Illinois,58.7
Indiana,65.8
Iowa,66.6
Kansas,64.7
Kentucky,62.9
Louisiana,64.7
Maine,56.2
Maryland,64.1
Massachusetts,73.2
Michigan,61.9
Minnesota,70.9
Mississippi,78.8
Missouri,61.4
Montana,60.5
Nebraska,69.5
Nevada,51.8
New Hampshire,64.3
New Jersey,68.6
New Mexico,72.4
New York,68.9
North Carolina,64.1
North Dakota,67.4
Ohio,61.5
Oklahoma,60.2
Oregon,47.8
Pennsylvania,60.9
Rhode Island,65.4
South Carolina,68.3
South Dakota,71.8
Tennessee,62.1
Texas,56.2
Utah,53.3
Vermont,53.5
Virginia,63.8
Washington,48.3
West Virginia,59.2
Wisconsin,60.1
Wyoming,60.4
Nation,62.5
